-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 08/31/2025 in LST
Location: Latitude  9.74   Longitude 80.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M,RH2M
2025,5,3,20,0.0,0.0,0.0,29.79,5.8,81.99
2025,5,3,21,0.0,0.0,0.0,29.6,5.76,83.06
2025,5,3,22,0.0,0.0,0.0,29.45,5.69,83.87
2025,5,3,23,0.0,0.0,0.0,29.35,5.65,84.5
2025,5,4,0,0.0,0.0,0.0,29.28,5.58,84.96
2025,5,4,1,0.0,0.0,0.0,29.26,5.37,85.0
2025,5,4,2,0.0,0.0,0.0,29.24,5.12,85.02
2025,5,4,3,0.0,0.0,0.0,29.23,4.82,85.01
2025,5,4,4,0.0,0.0,0.0,29.24,4.44,84.77
2025,5,4,5,14.93,21.65,23.0,29.26,4.03,84.45
2025,5,4,6,169.02,225.42,117.43,29.69,3.92,82.3
2025,5,4,7,381.65,419.02,221.63,30.11,3.71,79.63
2025,5,4,8,580.17,366.95,295.18,30.48,3.56,77.52
2025,5,4,9,722.47,444.85,303.41,30.77,3.53,76.1
2025,5,4,10,892.75,568.13,281.35,31.04,3.63,74.68
2025,5,4,11,945.58,576.34,289.9,31.19,3.65,73.71
2025,5,4,12,914.05,673.59,235.39,31.3,3.61,72.83
2025,5,4,13,810.95,628.94,230.3,31.31,3.45,72.53
2025,5,4,14,642.55,547.1,211.48,31.29,3.22,72.31
2025,5,4,15,415.38,440.76,170.7,31.22,2.84,72.32
2025,5,4,16,194.25,268.38,108.74,31.03,2.32,73.16
2025,5,4,17,26.27,32.56,25.49,30.63,1.72,76.28
2025,5,4,18,0.0,0.0,0.0,30.37,1.58,77.51
2025,5,4,19,0.0,0.0,0.0,30.29,1.83,77.32
2025,5,4,20,0.0,0.0,0.0,30.01,2.76,79.86
2025,5,4,21,0.0,0.0,0.0,29.72,3.86,81.94
2025,5,4,22,0.0,0.0,0.0,29.49,4.72,83.55
2025,5,4,23,0.0,0.0,0.0,29.23,5.34,85.35
2025,5,5,0,0.0,0.0,0.0,28.91,5.53,87.47
2025,5,5,1,0.0,0.0,0.0,28.68,5.46,88.92
2025,5,5,2,0.0,0.0,0.0,28.5,5.18,89.83
2025,5,5,3,0.0,0.0,0.0,28.39,4.89,90.01
2025,5,5,4,0.0,0.0,0.0,28.35,4.72,89.74
2025,5,5,5,5.88,5.8,7.74,28.36,4.79,89.53
2025,5,5,6,149.9,136.34,111.11,28.65,5.09,88.01
2025,5,5,7,327.15,287.18,181.51,28.99,4.96,85.76
2025,5,5,8,475.35,176.87,266.46,29.5,4.48,82.3
2025,5,5,9,607.62,218.76,294.49,30.07,3.65,77.55
2025,5,5,10,703.8,334.91,315.16,30.5,2.85,73.86
2025,5,5,11,771.25,529.62,281.37,30.85,2.42,71.36
2025,5,5,12,846.6,558.86,291.21,30.97,2.45,70.61
2025,5,5,13,743.58,462.98,292.07,30.86,2.56,71.31
2025,5,5,14,599.25,365.62,330.72,30.66,2.61,72.51
2025,5,5,15,434.95,471.84,161.82,30.42,2.53,73.96
2025,5,5,16,207.98,265.13,128.1,30.14,2.17,75.78
2025,5,5,17,29.62,17.76,31.34,29.8,1.55,78.71
2025,5,5,18,0.0,0.0,0.0,29.61,1.87,80.96
2025,5,5,19,0.0,0.0,0.0,29.53,2.89,82.28
2025,5,5,20,0.0,0.0,0.0,29.45,3.84,83.46
2025,5,5,21,0.0,0.0,0.0,29.36,4.34,84.53
2025,5,5,22,0.0,0.0,0.0,29.27,4.29,85.0
2025,5,5,23,0.0,0.0,0.0,29.15,4.05,84.88
2025,5,6,0,0.0,0.0,0.0,29.02,3.97,84.51
2025,5,6,1,0.0,0.0,0.0,28.93,4.07,84.03
2025,5,6,2,0.0,0.0,0.0,28.85,3.95,83.36
2025,5,6,3,0.0,0.0,0.0,28.79,3.67,82.34
2025,5,6,4,0.0,0.0,0.0,28.76,3.36,81.29
2025,5,6,5,14.75,5.05,17.27,28.82,3.09,80.3
2025,5,6,6,158.4,189.34,117.26,29.5,3.06,76.92
2025,5,6,7,353.58,443.9,181.35,30.2,3.1,73.02
2025,5,6,8,583.05,395.72,285.76,30.93,3.21,69.35
2025,5,6,9,763.0,412.07,348.88,31.6,3.27,66.21
2025,5,6,10,909.3,646.13,235.82,32.1,3.25,64.56
2025,5,6,11,925.05,544.17,317.4,32.4,3.24,64.12
2025,5,6,12,747.42,569.72,206.52,32.55,3.31,64.14
2025,5,6,13,762.17,490.33,280.0,32.56,3.55,64.47
2025,5,6,14,588.03,455.49,219.93,32.4,3.91,65.12
2025,5,6,15,350.55,300.57,168.01,32.18,4.44,65.71
2025,5,6,16,162.68,177.86,103.16,31.82,5.04,67.06
2025,5,6,17,21.58,15.03,27.49,31.23,5.54,70.43
2025,5,6,18,0.0,0.0,0.0,30.64,6.29,74.04
2025,5,6,19,0.0,0.0,0.0,30.3,7.28,76.61
2025,5,6,20,0.0,0.0,0.0,29.99,7.75,79.28
2025,5,6,21,0.0,0.0,0.0,29.75,8.1,81.18
2025,5,6,22,0.0,0.0,0.0,29.55,8.1,82.78
2025,5,6,23,0.0,0.0,0.0,29.39,8.05,83.8
2025,5,7,0,0.0,0.0,0.0,29.29,8.08,84.15
2025,5,7,1,0.0,0.0,0.0,29.22,8.18,83.93
2025,5,7,2,0.0,0.0,0.0,29.21,7.85,82.72
2025,5,7,3,0.0,0.0,0.0,29.22,7.17,80.92
2025,5,7,4,0.0,0.0,0.0,29.19,6.58,79.84
2025,5,7,5,13.23,3.69,17.37,29.19,6.22,78.94
2025,5,7,6,146.35,102.71,117.55,29.61,6.43,76.26
2025,5,7,7,336.92,237.45,217.45,30.19,6.81,72.4
2025,5,7,8,534.88,240.62,297.19,30.72,7.04,68.83
2025,5,7,9,694.22,283.72,371.95,31.14,7.01,66.84
2025,5,7,10,818.53,419.27,364.83,31.53,6.8,65.25
2025,5,7,11,888.55,575.08,320.41,31.82,6.57,64.18
2025,5,7,12,845.95,477.0,321.28,31.98,6.45,63.72
2025,5,7,13,733.17,528.94,269.38,32.0,6.52,63.88
2025,5,7,14,508.58,251.73,269.5,31.86,6.66,64.7
2025,5,7,15,333.1,175.64,228.97,31.58,6.85,66.22
2025,5,7,16,153.5,77.87,109.02,31.17,6.85,68.57
2025,5,7,17,21.55,7.63,25.0,30.67,6.42,71.96
2025,5,7,18,0.0,0.0,0.0,30.29,6.0,74.94
2025,5,7,19,0.0,0.0,0.0,30.11,5.8,76.61
2025,5,7,20,0.0,0.0,0.0,29.95,5.86,77.82
2025,5,7,21,0.0,0.0,0.0,29.8,6.12,78.36
2025,5,7,22,0.0,0.0,0.0,29.59,6.27,79.14
2025,5,7,23,0.0,0.0,0.0,29.41,6.4,79.62
2025,5,8,0,0.0,0.0,0.0,29.25,6.56,79.95
2025,5,8,1,0.0,0.0,0.0,29.11,6.69,80.42
2025,5,8,2,0.0,0.0,0.0,28.99,6.42,80.92
2025,5,8,3,0.0,0.0,0.0,28.88,6.07,81.29
2025,5,8,4,0.0,0.0,0.0,28.8,5.85,81.47
2025,5,8,5,14.12,15.81,20.06,28.8,5.7,80.88
2025,5,8,6,135.48,79.24,114.25,29.1,5.78,79.23
2025,5,8,7,324.1,146.91,194.09,29.49,5.65,77.06
2025,5,8,8,517.08,91.16,335.43,30.03,5.71,73.91
2025,5,8,9,677.55,107.85,402.84,30.58,5.64,69.99
2025,5,8,10,798.08,396.79,334.43,31.05,5.37,66.98
2025,5,8,11,784.17,398.11,278.78,31.33,5.11,65.55
2025,5,8,12,729.28,374.14,297.97,31.44,4.86,65.01
2025,5,8,13,537.95,186.01,279.79,31.45,4.73,65.0
2025,5,8,14,424.48,169.59,228.49,31.36,4.62,65.4
2025,5,8,15,141.65,58.1,85.25,31.16,4.64,66.31
2025,5,8,16,78.43,16.28,64.44,30.86,4.76,68.07
2025,5,8,17,11.38,5.71,12.86,30.3,4.75,72.48
2025,5,8,18,0.0,0.0,0.0,29.81,4.96,76.25
2025,5,8,19,0.0,0.0,0.0,29.57,5.29,78.13
2025,5,8,20,0.0,0.0,0.0,29.36,5.5,79.87
2025,5,8,21,0.0,0.0,0.0,29.16,5.51,81.44
2025,5,8,22,0.0,0.0,0.0,29.0,5.37,82.74
2025,5,8,23,0.0,0.0,0.0,28.88,5.2,83.77
2025,5,9,0,0.0,0.0,0.0,28.8,5.02,84.61
2025,5,9,1,0.0,0.0,0.0,28.75,4.81,85.35
2025,5,9,2,0.0,0.0,0.0,28.73,4.43,85.62
2025,5,9,3,0.0,0.0,0.0,28.75,3.97,85.23
2025,5,9,4,0.0,0.0,0.0,28.77,3.47,85.05
2025,5,9,5,12.75,6.24,16.1,28.77,2.88,84.95
2025,5,9,6,148.48,100.78,122.98,29.21,2.55,83.39
2025,5,9,7,340.45,234.97,220.6,29.59,2.25,81.27
2025,5,9,8,538.6,248.41,291.69,29.98,1.92,79.15
2025,5,9,9,691.88,319.56,332.95,30.38,1.51,76.99
2025,5,9,10,830.22,412.45,314.06,30.7,1.13,74.71
2025,5,9,11,792.67,356.7,345.27,31.04,0.8,71.93
2025,5,9,12,754.5,277.36,388.07,31.29,0.68,69.34
2025,5,9,13,631.67,155.23,384.42,31.44,0.57,68.02
2025,5,9,14,419.0,142.7,225.47,31.52,0.4,66.34
2025,5,9,15,300.58,80.67,199.86,31.56,0.57,64.51
2025,5,9,16,136.32,77.31,109.95,31.49,1.02,64.78
2025,5,9,17,18.05,13.6,21.33,31.16,1.38,67.61
2025,5,9,18,0.0,0.0,0.0,30.76,1.65,70.85
2025,5,9,19,0.0,0.0,0.0,30.49,1.95,72.72
2025,5,9,20,0.0,0.0,0.0,30.22,2.26,74.67
2025,5,9,21,0.0,0.0,0.0,29.95,2.66,76.75
2025,5,9,22,0.0,0.0,0.0,29.69,3.08,78.82
2025,5,9,23,0.0,0.0,0.0,29.43,3.51,80.91
2025,5,10,0,0.0,0.0,0.0,29.19,3.92,82.9
2025,5,10,1,0.0,0.0,0.0,28.98,4.21,84.56
2025,5,10,2,0.0,0.0,0.0,28.83,4.29,85.5
2025,5,10,3,0.0,0.0,0.0,28.78,4.19,85.51
2025,5,10,4,0.0,0.0,0.0,28.79,4.11,85.26
2025,5,10,5,15.12,9.96,18.76,28.86,3.96,84.81
2025,5,10,6,153.18,147.03,110.26,29.38,4.08,82.44
2025,5,10,7,365.38,265.99,209.81,29.83,3.81,80.06
2025,5,10,8,566.55,292.57,284.21,30.33,3.64,77.24
2025,5,10,9,739.38,452.45,312.53,30.73,3.49,74.63
2025,5,10,10,889.6,561.57,314.06,31.04,3.42,72.59
2025,5,10,11,935.12,631.95,266.29,31.27,3.43,70.91
2025,5,10,12,853.8,569.68,246.96,31.45,3.5,69.44
2025,5,10,13,786.53,620.2,213.64,31.53,3.49,68.43
2025,5,10,14,634.25,540.3,209.91,31.52,3.31,67.92
2025,5,10,15,429.58,481.52,160.93,31.42,3.01,67.84
2025,5,10,16,216.82,336.41,111.29,31.23,2.67,68.48
2025,5,10,17,30.52,42.7,29.07,30.79,2.35,71.7
2025,5,10,18,0.0,0.0,0.0,30.39,2.43,74.71
2025,5,10,19,0.0,0.0,0.0,30.26,2.84,75.72
2025,5,10,20,0.0,0.0,0.0,30.09,3.49,77.11
2025,5,10,21,0.0,0.0,0.0,29.91,4.23,78.65
2025,5,10,22,0.0,0.0,0.0,29.71,4.92,80.23
2025,5,10,23,0.0,0.0,0.0,29.52,5.5,81.56
2025,5,11,0,0.0,0.0,0.0,29.36,5.96,82.63
2025,5,11,1,0.0,0.0,0.0,29.26,6.33,83.32
2025,5,11,2,0.0,0.0,0.0,29.19,6.43,83.75
2025,5,11,3,0.0,0.0,0.0,29.16,6.29,83.86
2025,5,11,4,0.0,0.0,0.0,29.15,6.06,83.87
2025,5,11,5,16.05,9.34,19.18,29.19,5.82,83.62
2025,5,11,6,167.0,224.47,117.49,29.77,6.05,80.92
2025,5,11,7,383.52,337.7,203.1,30.48,6.14,77.27
2025,5,11,8,587.58,365.35,286.66,31.03,6.21,74.12
2025,5,11,9,763.65,421.65,325.9,31.41,6.2,72.04
2025,5,11,10,912.0,654.47,215.34,31.72,6.16,70.3
2025,5,11,11,938.35,596.64,305.01,31.91,6.14,69.13
2025,5,11,12,874.88,769.88,225.41,32.03,6.08,68.2
2025,5,11,13,774.9,499.33,282.02,32.04,5.97,67.75
2025,5,11,14,626.05,440.33,291.56,31.91,5.86,67.95
2025,5,11,15,416.27,342.55,227.81,31.67,5.8,68.9
2025,5,11,16,192.98,215.9,123.14,31.3,5.92,70.89
2025,5,11,17,27.08,17.74,28.92,30.77,6.0,74.19
2025,5,11,18,0.0,0.0,0.0,30.31,6.21,77.21
2025,5,11,19,0.0,0.0,0.0,30.04,6.51,79.06
2025,5,11,20,0.0,0.0,0.0,29.83,6.89,80.54
2025,5,11,21,0.0,0.0,0.0,29.7,7.29,81.55
2025,5,11,22,0.0,0.0,0.0,29.66,7.54,82.02
2025,5,11,23,0.0,0.0,0.0,29.66,7.81,82.24
2025,5,12,0,0.0,0.0,0.0,29.68,8.18,82.22
2025,5,12,1,0.0,0.0,0.0,29.63,8.42,82.73
2025,5,12,2,0.0,0.0,0.0,29.54,8.17,83.38
2025,5,12,3,0.0,0.0,0.0,29.46,7.61,83.65
2025,5,12,4,0.0,0.0,0.0,29.41,6.96,83.66
2025,5,12,5,18.38,41.58,18.75,29.43,6.36,83.43
2025,5,12,6,183.23,209.64,122.14,30.0,6.27,80.69
2025,5,12,7,393.23,295.53,228.72,30.63,6.23,76.88
2025,5,12,8,600.95,466.39,210.04,31.12,6.11,73.82
2025,5,12,9,772.08,444.25,304.69,31.56,5.95,71.52
2025,5,12,10,908.25,697.45,200.55,31.88,5.73,69.73
2025,5,12,11,931.55,582.01,280.02,32.12,5.49,68.38
2025,5,12,12,906.4,618.7,255.0,32.23,5.29,67.56
2025,5,12,13,799.83,685.92,213.47,32.25,5.25,67.23
2025,5,12,14,634.9,536.37,222.72,32.15,5.18,67.48
2025,5,12,15,414.4,414.2,165.74,31.91,5.12,68.59
2025,5,12,16,201.68,247.82,120.92,31.54,5.33,70.71
2025,5,12,17,29.4,31.9,29.07,31.05,5.46,74.11
2025,5,12,18,0.0,0.0,0.0,30.61,5.88,77.45
2025,5,12,19,0.0,0.0,0.0,30.36,6.34,79.6
2025,5,12,20,0.0,0.0,0.0,30.15,6.8,81.56
2025,5,12,21,0.0,0.0,0.0,29.97,7.14,83.44
2025,5,12,22,0.0,0.0,0.0,29.81,7.31,85.01
2025,5,12,23,0.0,0.0,0.0,29.69,7.56,86.08
2025,5,13,0,0.0,0.0,0.0,29.62,7.88,86.34
2025,5,13,1,0.0,0.0,0.0,29.56,8.15,86.57
2025,5,13,2,0.0,0.0,0.0,29.52,8.15,86.77
2025,5,13,3,0.0,0.0,0.0,29.53,8.08,86.58
2025,5,13,4,0.0,0.0,0.0,29.57,8.02,86.01
2025,5,13,5,17.9,19.02,19.29,29.64,8.13,85.15
2025,5,13,6,172.02,291.29,107.32,29.98,8.3,82.9
2025,5,13,7,368.8,299.2,205.36,30.43,8.52,79.29
2025,5,13,8,570.55,320.48,296.62,30.87,8.4,75.63
2025,5,13,9,730.65,437.33,293.18,31.28,8.17,72.85
2025,5,13,10,888.4,616.82,253.89,31.66,7.94,70.9
2025,5,13,11,941.97,631.48,265.97,31.96,7.72,69.63
2025,5,13,12,883.12,630.12,234.55,32.13,7.37,68.93
2025,5,13,13,789.05,581.94,221.13,32.15,6.95,68.86
2025,5,13,14,639.17,541.04,225.21,32.0,6.66,69.44
2025,5,13,15,434.38,432.94,205.36,31.68,6.51,70.88
2025,5,13,16,214.07,283.22,124.69,31.24,6.52,73.34
2025,5,13,17,30.9,41.96,29.52,30.64,6.48,77.19
2025,5,13,18,0.0,0.0,0.0,30.16,6.48,80.83
2025,5,13,19,0.0,0.0,0.0,29.97,6.59,82.85
2025,5,13,20,0.0,0.0,0.0,29.9,6.58,84.12
2025,5,13,21,0.0,0.0,0.0,29.91,6.46,84.92
2025,5,13,22,0.0,0.0,0.0,29.94,6.43,85.33
2025,5,13,23,0.0,0.0,0.0,29.95,6.54,85.24
2025,5,14,0,0.0,0.0,0.0,29.94,6.58,84.67
2025,5,14,1,0.0,0.0,0.0,29.88,6.7,84.27
2025,5,14,2,0.0,0.0,0.0,29.8,6.83,84.03
2025,5,14,3,0.0,0.0,0.0,29.74,7.01,83.85
2025,5,14,4,0.0,0.0,0.0,29.7,7.07,83.64
2025,5,14,5,17.25,6.21,21.31,29.7,6.99,83.62
2025,5,14,6,162.55,117.4,110.69,30.03,7.09,82.04
2025,5,14,7,344.45,200.62,213.27,30.43,7.22,79.74
2025,5,14,8,542.1,246.87,329.88,30.72,7.2,77.82
2025,5,14,9,729.17,334.88,360.28,30.92,6.97,76.66
2025,5,14,10,874.9,597.3,257.93,31.09,6.95,75.77
2025,5,14,11,911.95,566.44,300.33,31.17,7.14,75.49
2025,5,14,12,872.45,537.74,308.84,31.18,7.53,75.63
2025,5,14,13,710.1,486.03,223.96,31.1,8.0,76.19
2025,5,14,14,518.88,414.84,215.1,30.95,8.42,76.77
2025,5,14,15,226.62,280.32,88.96,30.82,8.72,76.7
2025,5,14,16,138.55,165.38,84.38,30.55,8.73,77.43
2025,5,14,17,23.95,26.23,27.15,30.15,8.47,78.67
2025,5,14,18,0.0,0.0,0.0,29.92,7.89,77.13
2025,5,14,19,0.0,0.0,0.0,29.78,7.28,74.99
2025,5,14,20,0.0,0.0,0.0,29.64,6.86,75.15
2025,5,14,21,0.0,0.0,0.0,29.55,6.77,76.0
2025,5,14,22,0.0,0.0,0.0,29.46,6.72,77.78
2025,5,14,23,0.0,0.0,0.0,29.34,6.73,80.1
2025,5,15,0,0.0,0.0,0.0,29.27,6.8,81.75
2025,5,15,1,0.0,0.0,0.0,29.24,6.87,82.5
2025,5,15,2,0.0,0.0,0.0,29.23,6.42,82.48
2025,5,15,3,0.0,0.0,0.0,29.26,5.71,81.5
2025,5,15,4,0.0,0.0,0.0,29.26,5.01,80.41
2025,5,15,5,14.75,3.06,18.35,29.3,4.37,79.38
2025,5,15,6,143.95,101.11,106.22,29.8,3.89,77.14
2025,5,15,7,328.85,181.82,218.87,30.23,3.69,73.81
2025,5,15,8,505.9,186.03,287.81,30.66,3.65,70.93
2025,5,15,9,697.08,312.14,335.96,31.01,3.85,69.27
2025,5,15,10,801.7,458.39,306.96,31.25,4.36,68.85
2025,5,15,11,770.22,380.13,322.04,31.45,4.87,68.8
2025,5,15,12,625.92,320.88,238.68,31.56,5.22,68.93
2025,5,15,13,507.15,221.36,250.03,31.58,5.51,69.17
2025,5,15,14,418.73,252.8,176.95,31.44,5.78,69.75
2025,5,15,15,303.65,159.55,199.23,31.18,5.96,70.82
2025,5,15,16,156.73,165.87,134.03,30.83,6.0,72.6
2025,5,15,17,25.98,16.04,27.68,30.27,5.78,76.19
2025,5,15,18,0.0,0.0,0.0,29.83,5.69,78.89
2025,5,15,19,0.0,0.0,0.0,29.66,5.69,79.91
2025,5,15,20,0.0,0.0,0.0,29.55,5.76,80.34
2025,5,15,21,0.0,0.0,0.0,29.43,5.84,80.88
2025,5,15,22,0.0,0.0,0.0,29.31,5.99,81.82
2025,5,15,23,0.0,0.0,0.0,29.21,6.17,82.95
2025,5,16,0,0.0,0.0,0.0,29.12,6.29,83.86
2025,5,16,1,0.0,0.0,0.0,29.05,6.21,84.48
2025,5,16,2,0.0,0.0,0.0,29.05,6.19,84.63
2025,5,16,3,0.0,0.0,0.0,29.08,6.27,84.31
2025,5,16,4,0.0,0.0,0.0,29.14,6.45,83.56
2025,5,16,5,12.4,2.04,15.38,29.26,6.69,82.17
2025,5,16,6,108.9,30.15,99.52,29.87,7.22,78.6
2025,5,16,7,266.6,75.73,187.32,30.45,7.57,74.16
2025,5,16,8,435.25,49.43,288.67,31.07,7.57,69.79
2025,5,16,9,576.25,66.07,363.05,31.65,7.15,66.78
2025,5,16,10,646.85,98.37,380.97,32.17,6.46,64.46
2025,5,16,11,719.5,231.42,358.7,32.53,5.6,63.03
2025,5,16,12,689.83,209.3,446.09,32.74,4.75,62.2
2025,5,16,13,613.42,131.32,319.83,32.74,3.62,63.01
2025,5,16,14,539.83,290.24,241.15,32.44,2.21,65.83
2025,5,16,15,328.12,87.23,205.22,32.2,1.04,66.1
2025,5,16,16,147.02,30.81,116.42,31.92,1.19,66.25
2025,5,16,17,22.92,3.63,26.04,31.37,1.92,69.87
2025,5,16,18,0.0,0.0,0.0,30.89,2.36,72.67
2025,5,16,19,0.0,0.0,0.0,30.59,2.56,74.76
2025,5,16,20,0.0,0.0,0.0,30.3,2.87,77.68
2025,5,16,21,0.0,0.0,0.0,30.05,3.47,80.09
2025,5,16,22,0.0,0.0,0.0,29.8,4.26,82.26
2025,5,16,23,0.0,0.0,0.0,29.54,4.89,84.49
2025,5,17,0,0.0,0.0,0.0,29.4,5.45,85.87
2025,5,17,1,0.0,0.0,0.0,29.3,5.78,86.87
2025,5,17,2,0.0,0.0,0.0,29.22,5.69,87.42
2025,5,17,3,0.0,0.0,0.0,29.15,5.55,87.34
2025,5,17,4,0.0,0.0,0.0,29.13,5.48,86.68
2025,5,17,5,3.35,0.0,4.08,29.15,5.7,85.46
2025,5,17,6,32.05,43.23,21.9,29.29,6.2,84.56
